"spid","CCNAME","DNAME","CLNAME","EFEACODE","TOTAL","HH","COORD_X","COORD_Y"
1,"Montserrado","Greater Monrovia","Z1100 King Gray-Elwa","3004553071",689,103,-10.6991255341117,6.24130673111585
1,"Montserrado","Greater Monrovia","Z1100 King Gray-Elwa","3004553091",758,127,-10.6934276325029,6.2381726551423
1,"Montserrado","Greater Monrovia","Z1100 King Gray-Elwa","3004553101",374,74,-10.6938325098648,6.23527902776275
2,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town","3004557251",574,84,-10.6697753864817,6.23425417039307
2,"Montserrado","Greater Monrovia","Z1100 Kende-jah","3004555081",467,80,-10.6753862877638,6.23169326712187
2,"Montserrado","Greater Monrovia","Z1100 Kende-jah","3004555091",724,131,-10.6701646331805,6.23053044169502
3,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town","3004557341",373,83,-10.6400481556092,6.23386092766711
3,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town","3004557351",444,73,-10.6355481629464,6.23335325266165
3,"Montserrado","Greater Monrovia","Z1100 Kende-jah","3004555151",296,68,-10.6427067410316,6.22856821916824
4,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd","3004457051",506,92,-10.7183403021029,6.26350308172335
4,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd","3004457131",393,74,-10.7175253499589,6.26061339506761
4,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd","3004457121",582,96,-10.7124783738752,6.25770092543825
5,"Montserrado","Greater Monrovia","Z1100 Paynesville Joe Bar","3004563151",1039,208,-10.6845950755415,6.26032970251159
5,"Montserrado","Greater Monrovia","Z1100 Kpelle Town","3004559021",555,98,-10.6887589354048,6.25879930546173
5,"Montserrado","Greater Monrovia","Z1100 Kpelle Town","3004559051",469,89,-10.6887149849121,6.25654412717225
6,"Montserrado","Greater Monrovia","Z1100 Duport Road N. East","3004569061",442,72,-10.6592849537212,6.26640561193684
6,"Montserrado","Greater Monrovia","Z1100 Duport Road South","3004565221",473,89,-10.6636043607001,6.2622508189787
6,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town","3004557291",527,100,-10.6604210966139,6.25340931181617
7,"Montserrado","Greater Monrovia","Z700 Ocean View","3004701101",350,74,-10.7917902087028,6.29362846851986
7,"Montserrado","Greater Monrovia","Z700 Ocean View","3004701091",446,114,-10.7896333094118,6.29313547778848
7,"Montserrado","Greater Monrovia","Z700 Ocean View","3004701081",422,121,-10.7879753294831,6.29300712371073
8,"Montserrado","Greater Monrovia","Z800 Wroto Town","3004807071",545,116,-10.7642174386428,6.28555295420293
8,"Montserrado","Greater Monrovia","Z800 Wroto Town","3004807081",453,102,-10.763596242142,6.28544954207347
8,"Montserrado","Greater Monrovia","Z800 Wroto Town","3004807051",226,56,-10.7635779087885,6.28413259803857
9,"Montserrado","Greater Monrovia","Z1000 Peace Island","3004454031",415,71,-10.7297823562924,6.27998674126021
9,"Montserrado","Greater Monrovia","Z1000 Peace Island","3004454011",874,165,-10.7367414393459,6.27770612336309
9,"Montserrado","Greater Monrovia","Z1000 Peace Island","3004454021",593,122,-10.7329875445082,6.2784678601563
10,"Montserrado","Greater Monrovia","Z1100 Police Academy","3004556131",564,86,-10.7027054878433,6.28515812972715
10,"Montserrado","Greater Monrovia","Z1100 Police Academy","3004556141",563,96,-10.7061654024606,6.28321350217547
10,"Montserrado","Greater Monrovia","Z1100 Police Academy","3004556181",736,132,-10.7031512260867,6.28100084166768
11,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","3004575361",527,128,-10.6704147372332,6.2851882646131
11,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","3004575351",416,114,-10.672953366981,6.28567725463763
11,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","3004575391",418,91,-10.6708545187402,6.28242841666152
12,"Montserrado","Greater Monrovia","Z800 New Matadi","3004802111",457,99,-10.7712003290714,6.30549442327094
12,"Montserrado","Greater Monrovia","Z800 New Matadi","3004802091",477,106,-10.7746504327016,6.30614743470636
12,"Montserrado","Greater Monrovia","Z800 New Matadi","3004802081",377,84,-10.7763256190893,6.30299445928905
13,"Montserrado","Greater Monrovia","Z1200 Mangrove Island","3004655071",382,75,-10.7469671721658,6.3195466667953
13,"Montserrado","Greater Monrovia","Z1200 Mangrove Island","3004655081",484,89,-10.7461630246222,6.31768609902553
13,"Montserrado","Greater Monrovia","Z1200 Mangrove Island","3004655091",449,92,-10.7443751464668,6.3155335053027
14,"Montserrado","Greater Monrovia","Z1100 Zinc Factory","3004572051",522,93,-10.7171493688676,6.31096108065976
14,"Montserrado","Greater Monrovia","Z1100 Zinc Factory","3004572041",400,99,-10.7197491789288,6.31056942568464
14,"Montserrado","Greater Monrovia","Z1100 Zinc Factory","3004572061",287,44,-10.7152546321301,6.31056385097501
15,"Montserrado","Greater Monrovia","Z1100 Morris Farm","3004562171",867,142,-10.6881458956595,6.3131547799453
15,"Montserrado","Greater Monrovia","Z1100 Morris Farm","3004562161",612,131,-10.6882073570986,6.31131507394503
15,"Montserrado","Greater Monrovia","Z1100 Morris Farm","3004562031",820,161,-10.6847015227411,6.31021227161303
16,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","3004575021",639,115,-10.6547175796385,6.32004757761171
16,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","3004575051",346,55,-10.6584108436295,6.3147441799657
16,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","3004575061",1239,193,-10.6522907838836,6.30992003936266
17,"Montserrado","Greater Monrovia","Z200 Jamaica Road","3004201211",311,83,-10.7916399414485,6.33938784562639
17,"Montserrado","Greater Monrovia","Z300 Free Port Development","3004309021",521,105,-10.7929302323265,6.33661663484756
17,"Montserrado","Greater Monrovia","Z300 Free Port Development","3004309011",574,128,-10.7930882372861,6.3354981805439
18,"Montserrado","Greater Monrovia","Z1300 SOS Transit","3004756071",546,104,-10.7613212293921,6.33890087924004
18,"Montserrado","Greater Monrovia","Z1300 SOS Transit","3004756081",950,157,-10.7640215792187,6.339125226879
18,"Montserrado","Greater Monrovia","Z1300 Iron Factory","3004753031",689,123,-10.7629433917103,6.33541238844322
19,"Montserrado","Greater Monrovia","Z1200 Day Break Mouth Open","3004658031",272,70,-10.7322430194789,6.33996367307831
19,"Montserrado","Greater Monrovia","Z1200 Day Break Mouth Open","3004658021",933,164,-10.7344471536556,6.33937469915965
19,"Montserrado","Greater Monrovia","Z1200 Day Break Mouth Open","3004658071",498,94,-10.7338083222132,6.33573209595757
20,"Montserrado","Greater Monrovia","Z1200 Chicken Soup Factory","3004662391",272,49,-10.7151891897493,6.33870108960351
20,"Montserrado","Greater Monrovia","Z1100 City View","3004578131",784,142,-10.6970339677832,6.33011834276099
20,"Montserrado","Greater Monrovia","Z1100 Rock Hill","3004576161",669,123,-10.7071610941396,6.3303757294382
21,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","3004582011",631,119,-10.6628870263474,6.3325618268231
21,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","3004582021",813,145,-10.6697040174871,6.33454242728552
21,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","3004582031",622,102,-10.6690045291434,6.32674052598276
