"spid","CCNAME","DNAME","CLNAME","EFEACODE","TOTAL","HH","COORD_X","COORD_Y"
1,"Grand Bassa","District # 4","Grand Kola","0916007032",369,101,-9.69785402531918,5.66525783362045
1,"Grand Bassa","District # 4","Grand Kola","0916007042",414,76,-9.70204871403723,5.64342038586182
1,"Grand Bassa","District # 4","Grand Kola","0916007052",466,90,-9.73945550132459,5.62793669203864
2,"Grand Bassa","District # 4","Neetorn","0916001092",318,82,-9.90939087125485,5.80488635764543
2,"Grand Bassa","District # 4","Neetorn","0916001052",704,149,-9.88080995062578,5.79034263765832
2,"Grand Bassa","District # 4","Neetorn","0916001062",674,188,-9.92344948533033,5.76708005666905
3,"Grand Bassa","District # 4","Jogbahn","0916009092",220,50,-9.76201621768911,5.80131900273953
3,"Grand Bassa","District # 4","Little Kola","0916006012",327,69,-9.74674863378624,5.77758126871816
3,"Grand Bassa","District # 4","Jogbahn","0916009112",288,95,-9.80228249829253,5.77142799469666
4,"Grand Bassa","Neekreen","Watco","0910011011",480,89,-10.0130188261508,5.91107792202495
4,"Grand Bassa","Neekreen","Watco","0910011311",373,71,-10.0044837444708,5.90779808833598
4,"Grand Bassa","Neekreen","Watco","0910011021",412,83,-10.0167915570669,5.90159532464339
5,"Grand Bassa","Neekreen","Blaynee (Portion of Dist.","0910005012",607,154,-9.85752716444329,5.92254896254327
5,"Grand Bassa","Neekreen","Blaynee (Portion of Dist.","0910005022",590,101,-9.82438780999181,5.90201588869916
5,"Grand Bassa","Neekreen","Blaynee (Portion of Dist.","0910005032",545,144,-9.8536638871727,5.88745805827614
6,"Grand Bassa","District # 4","Neepue","0916003042",511,97,-9.68029989470279,5.93065398930043
6,"Grand Bassa","District # 4","Jogbahn","0916009032",515,118,-9.70707359140894,5.90594595663374
6,"Grand Bassa","District # 4","Jogbahn","0916009042",376,70,-9.69650947220391,5.88548022938756
7,"Grand Bassa","District # 1","Whenzohn","0904001022",197,51,-10.2752061326358,6.09702220281525
7,"Grand Bassa","District # 1","Sonniewein","0904002132",319,61,-10.2147104712079,6.0790383768188
7,"Grand Bassa","District # 1","Sonniewein","0904002112",429,127,-10.2099422413448,6.05460275617992
8,"Grand Bassa","St. John River City","Tarrwureh","0908010012",645,144,-10.067974580439,6.07210176458405
8,"Grand Bassa","District # 1","Lloydsville","0904004072",675,89,-10.1204015946182,6.08635165832546
8,"Grand Bassa","St. John River City","Goingbo","0908009012",710,194,-10.1027061265706,6.04589383833046
9,"Grand Bassa","St. John River City","Vombo","0908003032",448,97,-9.90365909051273,6.07205450914473
9,"Grand Bassa","St. John River City","Vombo","0908003022",508,130,-9.94146228618347,6.04634724672486
9,"Grand Bassa","St. John River City","Vombo","0908003012",424,100,-9.9723703924416,6.03429873670366
10,"Grand Bassa","District # 3","L A C Plantation","0914001162",328,89,-9.7831022669151,6.07648388202507
10,"Grand Bassa","District # 3","L A C Plantation","0914001182",147,50,-9.76393777590796,6.05714266812065
10,"Grand Bassa","District # 3","L A C Plantation","0914001192",281,81,-9.77388531059352,6.04036094721559
11,"Grand Bassa","Owensgrove","Yeannah","0902002092",329,84,-10.3351886876299,6.21560547287542
11,"Grand Bassa","Owensgrove","Yeannah","0902002082",288,56,-10.3176176000141,6.20242476818707
11,"Grand Bassa","Owensgrove","Yeannah","0902002072",236,50,-10.3258588791549,6.18585258821465
12,"Grand Bassa","District # 1","Doe","0904005052",346,88,-10.1391681875985,6.19360593488393
12,"Grand Bassa","Owensgrove","Doewein","0902003052",184,49,-10.2120264689987,6.1848886295713
12,"Grand Bassa","District # 1","Doe","0904005062",291,94,-10.1634696638861,6.1693437546739
13,"Grand Bassa","District # 2","Bla-lar","0906004012",453,98,-9.98380781603069,6.22122954410568
13,"Grand Bassa","District # 2","Zuzohn","0906005022",342,91,-10.0393460796873,6.17789739090914
13,"Grand Bassa","District # 2","Bla-lar","0906004022",388,99,-9.97762470724114,6.18170703026155
14,"Grand Bassa","District # 2","Marblee","0906001062",292,62,-9.85101558434277,6.22966966253251
14,"Grand Bassa","District # 3","Gaye Peter","0914003192",699,146,-9.80827542397169,6.20367851341822
14,"Grand Bassa","District # 3","Gaye Peter","0914003172",141,24,-9.8111763923233,6.17374907828008
15,"Grand Bassa","District # 3","Faitro","0914005042",601,135,-9.70583367670869,6.22955302340156
